global_seed,timestamp,system_name,model_name,noise_level,library_strategy,optimizer,use_ensemble,threshold,active_curation_threshold,expansion_strategy,split_strategy,discovery_time_s,structural_complexity,canonical_complexity,train_r2,train_mse,test_r2,test_mse,new_traj_r2,new_traj_mse,sim_time_s,sim_r2,sim_mse,equations
135,2026-04-28 16:50:31,duffing,AutoSINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,29.45173454284668,7,7,0.7916609742847505,0.016746232193592277,0.8184006733425555,0.016308357914950118,0.999983340962584,2.029709871923176e-06,0.8793988227844238,0.9972274377711712,0.0001777306833190553,0.9998880757 x1; 0.9996460801 x0 + -0.2970697628 x1 + -0.9987874293 x0**3
135,2026-04-28 16:50:31,duffing,Standard SINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4160292148590088,4,4,0.39185884804975185,0.06334790337765005,0.3925607418474742,0.06099417959199119,0.4732312171126862,0.06447530878711587,0.9645156860351562,-6.0539562579319774,1.240075345600444,1.0096774444 x1 + -0.0099575413 1 sin(1 x1); 0.0000000000
135,2026-04-28 16:50:31,duffing,Standard PySR,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,18.63737964630127,5,28,0.7775079405281641,0.01839596216336366,0.754907070375006,0.022971033782172887,-522475.78827795555,57624.50677805354,11.824132442474365,,,x1 + (x0 - 1*0.84761673)**9; -x0**3 + x0
36,2026-04-28 16:51:14,duffing,AutoSINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.852659463882446,7,7,0.796752841581595,0.016273813504123782,0.7932786944632613,0.019255532287289098,0.999979361529751,2.512156350670515e-06,0.8562474250793457,0.9941033380855995,0.0003788610957611736,1.0009397693 x1; 0.9992837712 x0 + -0.2963031937 x1 + -0.9983303118 x0**3
36,2026-04-28 16:51:14,duffing,Standard SINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.40797853469848633,4,4,0.39479139777885136,0.06288166625684874,0.3853354597711655,0.06378803896661021,0.47323104636637564,0.06447532761890332,0.9601397514343262,-6.0174198570624045,1.225697836351185,0.9797108756 x1 + 0.0215933560 1 sin(1 x1); 0.0000000000
36,2026-04-28 16:51:14,duffing,Standard PySR,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,14.838416814804077,6,6,0.7825824345589771,0.01791692751065132,0.7303070997209857,0.02612972960104521,0.9505730981385031,0.006049720519438867,4.834523439407349,-8.264987196708597,0.5303488250385846,(0.00142559516173793*x0**3)*x1 + x1; -x0**3 + x0
32,2026-04-28 16:51:57,duffing,AutoSINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.70586633682251,7,7,0.48231284818848574,0.06746074641632668,0.5147503862740732,0.07305730062903405,0.9999868632641656,1.5979883202854473e-06,0.8977451324462891,0.9990457888713314,5.9546079570489685e-05,0.9997509028 x1; 1.0014906925 x0 + -0.2981490051 x1 + -1.0006825879 x0**3
32,2026-04-28 16:51:57,duffing,Standard SINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.48348188400268555,11,11,0.47055203336040974,0.06965254440878782,0.48380662213387565,0.07889096358859682,-176.77063433602513,21.758726894591966,0.8396577835083008,,,1.1902883395 x1 + -0.1938091833 1 sin(1 x1); 3.1689278050 x0^3 + -3.7244163068 x0^3 sin(1 x0)
32,2026-04-28 16:51:57,duffing,Standard PySR,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,15.325401067733765,5,27,0.47342777837380773,0.06911678057764298,0.45270265847201413,0.08232334606416031,0.9498482238734701,0.00612966765298054,5.131445646286011,-7.99926155746676,0.6887207813817433,x1 + (x1 + 0.20157368)**9; -x0**3 + x0
33,2026-04-28 16:52:48,duffing,AutoSINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.502381086349487,7,7,0.4868519135809747,0.06595162637967246,0.5156519894673944,0.07469629382115586,0.9999538245105983,5.641295978504866e-06,0.9743518829345703,0.9869107534225936,0.000846044844317845,1.0005732307 x1; 0.9956426746 x0 + -0.2939711736 x1 + -0.9946253485 x0**3
